hub,woy,daytype,tp,mw
BEN,1,weekday,1,103.54228333333333
BEN,1,weekday,2,99.13603333333336
BEN,1,weekday,3,94.32193333333335
BEN,1,weekday,4,90.86271666666667
BEN,1,weekday,5,89.373
BEN,1,weekday,6,87.38515000000001
BEN,1,weekday,7,86.15063333333333
BEN,1,weekday,8,85.79478333333334
BEN,1,weekday,9,87.82675
BEN,1,weekday,10,90.14165
BEN,1,weekday,11,96.1695
BEN,1,weekday,12,101.18316666666666
BEN,1,weekday,13,105.09973333333332
BEN,1,weekday,14,111.13235
BEN,1,weekday,15,118.18316666666666
BEN,1,weekday,16,126.34593333333333
BEN,1,weekday,17,133.17546666666667
BEN,1,weekday,18,137.16733333333335
BEN,1,weekday,19,140.11566666666667
BEN,1,weekday,20,141.11620000000002
BEN,1,weekday,21,144.80128333333334
BEN,1,weekday,22,141.65383333333335
BEN,1,weekday,23,140.64391666666666
BEN,1,weekday,24,138.811
BEN,1,weekday,25,138.68191666666667
BEN,1,weekday,26,135.1935
BEN,1,weekday,27,133.65574999999998
BEN,1,weekday,28,129.53154166666664
BEN,1,weekday,29,130.35381666666666
BEN,1,weekday,30,130.25318333333334
BEN,1,weekday,31,130.51131666666663
BEN,1,weekday,32,131.29695833333335
BEN,1,weekday,33,130.16886666666664
BEN,1,weekday,34,132.26895000000002
BEN,1,weekday,35,136.90658333333334
BEN,1,weekday,36,140.15076666666667
BEN,1,weekday,37,163.26283333333333
BEN,1,weekday,38,161.26819999999998
BEN,1,weekday,39,133.96629166666668
BEN,1,weekday,40,151.68492499999996
BEN,1,weekday,41,149.32950833333334
BEN,1,weekday,42,147.74646666666666
BEN,1,weekday,43,145.593875
BEN,1,weekday,44,167.90543333333335
BEN,1,weekday,45,140.52733333333333
BEN,1,weekday,46,132.44336666666666
BEN,1,weekday,47,132.83748333333332
BEN,1,weekday,48,125.48498333333335
BEN,1,weekend,1,140.21293333333332
BEN,1,weekend,2,130.76675
BEN,1,weekend,3,124.55086666666668
BEN,1,weekend,4,120.48716666666668
BEN,1,weekend,5,117.27766666666668
BEN,1,weekend,6,115.05033333333333
BEN,1,weekend,7,87.76400000000001
BEN,1,weekend,8,87.43166666666667
BEN,1,weekend,9,88.17533333333333
BEN,1,weekend,10,89.93908333333333
BEN,1,weekend,11,95.06416666666665
BEN,1,weekend,12,99.98716666666667
BEN,1,weekend,13,103.07583333333334
BEN,1,weekend,14,105.51466666666668
BEN,1,weekend,15,110.16570000000002
BEN,1,weekend,16,156.12641666666664
BEN,1,weekend,17,166.7053
BEN,1,weekend,18,173.99116666666666
BEN,1,weekend,19,180.60741666666667
BEN,1,weekend,20,184.51716666666664
BEN,1,weekend,21,186.29326666666665
BEN,1,weekend,22,132.50199999999998
BEN,1,weekend,23,133.86966666666666
BEN,1,weekend,24,131.35363333333333
BEN,1,weekend,25,129.04933333333332
BEN,1,weekend,26,171.7661666666667
BEN,1,weekend,27,170.18366666666668
BEN,1,weekend,28,121.26783333333333
BEN,1,weekend,29,121.2945
BEN,1,weekend,30,121.433
BEN,1,weekend,31,121.56416666666668
BEN,1,weekend,32,123.34833333333334
BEN,1,weekend,33,168.132
BEN,1,weekend,34,126.75633333333334
BEN,1,weekend,35,178.10493333333335
BEN,1,weekend,36,130.04233333333332
BEN,1,weekend,37,131.95375
BEN,1,weekend,38,136.7898
BEN,1,weekend,39,129.64450000000002
BEN,1,weekend,40,125.63450000000002
BEN,1,weekend,41,122.53633333333333
BEN,1,weekend,42,121.45166666666668
BEN,1,weekend,43,120.018
BEN,1,weekend,44,121.02733333333333
BEN,1,weekend,45,116.96333333333335
BEN,1,weekend,46,110.46549999999999
BEN,1,weekend,47,151.46883333333332
BEN,1,weekend,48,108.19063333333334
BEN,2,weekday,1,153.9751
BEN,2,weekday,2,149.6244166666667
BEN,2,weekday,3,108.50306666666667
BEN,2,weekday,4,104.02099999999999
BEN,2,weekday,5,101.73183333333334
BEN,2,weekday,6,101.91016666666667
BEN,2,weekday,7,101.7655
BEN,2,weekday,8,101.57893333333332
BEN,2,weekday,9,104.18196666666665
BEN,2,weekday,10,108.92763333333332
BEN,2,weekday,11,115.68133333333334
BEN,2,weekday,12,158.65183333333334
BEN,2,weekday,13,170.74308333333332
BEN,2,weekday,14,181.75050000000002
BEN,2,weekday,15,196.36533333333333
BEN,2,weekday,16,207.56990000000002
BEN,2,weekday,17,160.30566666666664
BEN,2,weekday,18,161.77000000000004
BEN,2,weekday,19,163.18233333333336
BEN,2,weekday,20,163.32816666666665
BEN,2,weekday,21,217.75733333333335
BEN,2,weekday,22,215.6245
BEN,2,weekday,23,215.97283333333334
BEN,2,weekday,24,214.31113333333332
BEN,2,weekday,25,160.02183333333335
BEN,2,weekday,26,157.717
BEN,2,weekday,27,210.04875000000004
BEN,2,weekday,28,157.4375
BEN,2,weekday,29,158.52758333333335
BEN,2,weekday,30,158.58100000000002
BEN,2,weekday,31,160.58246666666668
BEN,2,weekday,32,161.54500000000002
BEN,2,weekday,33,161.31966666666665
BEN,2,weekday,34,160.37699999999998
BEN,2,weekday,35,157.9008333333333
BEN,2,weekday,36,159.41283333333334
BEN,2,weekday,37,156.73433333333332
BEN,2,weekday,38,154.89233333333334
BEN,2,weekday,39,150.45076666666665
BEN,2,weekday,40,199.86591666666666
BEN,2,weekday,41,197.20066666666668
BEN,2,weekday,42,195.09675
BEN,2,weekday,43,195.07966666666667
BEN,2,weekday,44,193.41036666666665
BEN,2,weekday,45,188.69533333333334
BEN,2,weekday,46,137.17283333333333
BEN,2,weekday,47,136.0276666666667
BEN,2,weekday,48,127.80433333333335
BEN,2,weekend,1,160.16683333333333
BEN,2,weekend,2,157.44050000000001
BEN,2,weekend,3,120.79666666666667
BEN,2,weekend,4,148.81266666666667
BEN,2,weekend,5,145.3155
BEN,2,weekend,6,142.67399999999998
BEN,2,weekend,7,137.23883333333333
BEN,2,weekend,8,135.55
BEN,2,weekend,9,137.17583333333334
BEN,2,weekend,10,140.48725
BEN,2,weekend,11,146.9501666666667
BEN,2,weekend,12,151.35183333333333
BEN,2,weekend,13,155.4235
BEN,2,weekend,14,159.73650000000004
BEN,2,weekend,15,168.07626666666667
BEN,2,weekend,16,176.64919999999998
BEN,2,weekend,17,184.1271666666667
BEN,2,weekend,18,191.73166666666665
BEN,2,weekend,19,198.12716666666668
BEN,2,weekend,20,201.01566666666665
