Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224121

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Benmore
Commodity type,Base
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
01/01/2021,Benmore,N/A,N/A,Simple daily average spot price,102.1604
01/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,68.7866
02/01/2021,Benmore,N/A,N/A,Simple daily average spot price,74.1065
02/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,73.0853
03/01/2021,Benmore,N/A,N/A,Simple daily average spot price,39.5404
03/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,72.1409
04/01/2021,Benmore,N/A,N/A,Simple daily average spot price,61.3635
04/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,71.8099
05/01/2021,Benmore,N/A,N/A,Simple daily average spot price,105.9421
05/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,77.1269
05/01/2021,Benmore,Quarterly,Base,All maturities,89.2969
05/01/2021,Benmore,Quarterly,Base,Long-dated,79.0792
05/01/2021,Benmore,Quarterly,Base,Short-dated,119.9500
05/01/2021,Benmore,Quarterly,Base,2022 Calendar year,87.0500
05/01/2021,Benmore,Quarterly,Base,2023 Calendar year,77.1875
05/01/2021,Benmore,Quarterly,Base,2024 Calendar year,73.0000
05/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,100.6875
05/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,95.1167
05/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,91.4250
05/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,87.9450
06/01/2021,Benmore,N/A,N/A,Simple daily average spot price,96.3044
06/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,80.4468
06/01/2021,Benmore,Quarterly,Base,All maturities,89.1094
06/01/2021,Benmore,Quarterly,Base,Long-dated,79.0542
06/01/2021,Benmore,Quarterly,Base,Short-dated,119.2750
06/01/2021,Benmore,Quarterly,Base,2022 Calendar year,86.7625
06/01/2021,Benmore,Quarterly,Base,2023 Calendar year,77.3500
06/01/2021,Benmore,Quarterly,Base,2024 Calendar year,73.0500
06/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,100.1250
06/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,94.6750
06/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,91.0938
06/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,87.7450
07/01/2021,Benmore,N/A,N/A,Simple daily average spot price,96.5496
07/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,82.8914
07/01/2021,Benmore,Quarterly,Base,All maturities,89.0125
07/01/2021,Benmore,Quarterly,Base,Long-dated,79.0375
07/01/2021,Benmore,Quarterly,Base,Short-dated,118.9375
07/01/2021,Benmore,Quarterly,Base,2022 Calendar year,86.7125
07/01/2021,Benmore,Quarterly,Base,2023 Calendar year,77.3500
07/01/2021,Benmore,Quarterly,Base,2024 Calendar year,73.0500
07/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,100.3750
07/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,94.8083
