Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224123

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Benmore
Commodity type,Peak
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
01/01/2021,Benmore,N/A,N/A,Simple daily average spot price,102.1604
01/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,68.7866
02/01/2021,Benmore,N/A,N/A,Simple daily average spot price,74.1065
02/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,73.0853
03/01/2021,Benmore,N/A,N/A,Simple daily average spot price,39.5404
03/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,72.1409
04/01/2021,Benmore,N/A,N/A,Simple daily average spot price,61.3635
04/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,71.8099
05/01/2021,Benmore,N/A,N/A,Simple daily average spot price,105.9421
05/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,77.1269
05/01/2021,Benmore,Quarterly,Peak,All maturities,79.9875
05/01/2021,Benmore,Quarterly,Peak,Long-dated,67.5500
05/01/2021,Benmore,Quarterly,Peak,Short-dated,117.3000
05/01/2021,Benmore,Quarterly,Peak,2022 Calendar year,92.9500
05/01/2021,Benmore,Quarterly,Peak,2023 Calendar year,54.8500
05/01/2021,Benmore,Quarterly,Peak,2024 Calendar year,54.8500
05/01/2021,Benmore,Quarterly,Peak,12 months from 01/04/2025,98.4000
05/01/2021,Benmore,Quarterly,Peak,18 months from 01/04/2025,96.7667
05/01/2021,Benmore,Quarterly,Peak,24 months from 01/04/2025,86.2875
05/01/2021,Benmore,Quarterly,Peak,30 months from 01/04/2025,80.0000
06/01/2021,Benmore,N/A,N/A,Simple daily average spot price,96.3044
06/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,80.4468
06/01/2021,Benmore,Quarterly,Peak,All maturities,79.9875
06/01/2021,Benmore,Quarterly,Peak,Long-dated,67.5500
06/01/2021,Benmore,Quarterly,Peak,Short-dated,117.3000
06/01/2021,Benmore,Quarterly,Peak,2022 Calendar year,92.9500
06/01/2021,Benmore,Quarterly,Peak,2023 Calendar year,54.8500
06/01/2021,Benmore,Quarterly,Peak,2024 Calendar year,54.8500
06/01/2021,Benmore,Quarterly,Peak,12 months from 01/04/2025,98.4000
06/01/2021,Benmore,Quarterly,Peak,18 months from 01/04/2025,96.7667
06/01/2021,Benmore,Quarterly,Peak,24 months from 01/04/2025,86.2875
06/01/2021,Benmore,Quarterly,Peak,30 months from 01/04/2025,80.0000
07/01/2021,Benmore,N/A,N/A,Simple daily average spot price,96.5496
07/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,82.8914
07/01/2021,Benmore,Quarterly,Peak,All maturities,79.9875
07/01/2021,Benmore,Quarterly,Peak,Long-dated,67.5500
07/01/2021,Benmore,Quarterly,Peak,Short-dated,117.3000
07/01/2021,Benmore,Quarterly,Peak,2022 Calendar year,92.9500
07/01/2021,Benmore,Quarterly,Peak,2023 Calendar year,54.8500
07/01/2021,Benmore,Quarterly,Peak,2024 Calendar year,54.8500
07/01/2021,Benmore,Quarterly,Peak,12 months from 01/04/2025,98.4000
07/01/2021,Benmore,Quarterly,Peak,18 months from 01/04/2025,96.7667
