Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224118

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Otahuhu
Commodity type,Base
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
01/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,108.5748
01/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,74.5447
02/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,79.7748
02/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,79.2798
03/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,53.9598
03/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,79.9624
04/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,67.2825
04/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,79.8751
05/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,116.3269
05/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,85.8600
05/01/2021,Otahuhu,Quarterly,Base,All maturities,109.9750
05/01/2021,Otahuhu,Quarterly,Base,Long-dated,101.0083
05/01/2021,Otahuhu,Quarterly,Base,Short-dated,136.8750
05/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,106.5875
05/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,100.4625
05/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,95.9750
05/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,119.0625
05/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,114.2250
05/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,111.0875
05/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,108.7200
06/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,108.4075
06/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,89.6763
06/01/2021,Otahuhu,Quarterly,Base,All maturities,109.8500
06/01/2021,Otahuhu,Quarterly,Base,Long-dated,101.0083
06/01/2021,Otahuhu,Quarterly,Base,Short-dated,136.3750
06/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,106.5875
06/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,100.4625
06/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,95.9750
06/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,119.0500
06/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,114.2167
06/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,111.0813
06/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,108.7150
07/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,105.3254
07/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,91.9925
07/01/2021,Otahuhu,Quarterly,Base,All maturities,110.0375
07/01/2021,Otahuhu,Quarterly,Base,Long-dated,101.1542
07/01/2021,Otahuhu,Quarterly,Base,Short-dated,136.6875
07/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,107.0250
07/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,100.4625
07/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,95.9750
07/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,120.3500
07/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,114.9833
07/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,111.6563
07/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,109.1750
