Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224120

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Otahuhu
Commodity type,Peak
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
01/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,108.5748
01/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,74.5447
02/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,79.7748
02/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,79.2798
03/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,53.9598
03/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,79.9624
04/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,67.2825
04/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,79.8751
05/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,116.3269
05/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,85.8600
05/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
05/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
05/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
05/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
05/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
05/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
05/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
05/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
05/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
05/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
06/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,108.4075
06/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,89.6763
06/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
06/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
06/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
06/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
06/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
06/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
06/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
06/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
06/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
06/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
07/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,105.3254
07/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,91.9925
07/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
07/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
07/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
07/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
07/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
07/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
07/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
07/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
07/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
