STATION,NODE,YEAR,WEEK,PEAK,SHOULDER,OFFPEAK
Glenbrook_cogen,NI,2010,1,75.45,75.611,75.845
Glenbrook_cogen,NI,2010,2,63.115,60.308,65.484
Glenbrook_cogen,NI,2010,3,62.627,62.482,66.278
Glenbrook_cogen,NI,2010,4,64.573,67.671,70.157
Glenbrook_cogen,NI,2010,5,69.149,70.179,74.983
Glenbrook_cogen,NI,2010,6,72.498,70.889,75.593
Glenbrook_cogen,NI,2010,7,71.891,74.204,73.65
Glenbrook_cogen,NI,2010,8,69.455,68.95,70.282
Glenbrook_cogen,NI,2010,9,67.409,66.496,72.798
Glenbrook_cogen,NI,2010,10,72.457,74.452,74.118
Glenbrook_cogen,NI,2010,11,62.997,66.239,71.046
Glenbrook_cogen,NI,2010,12,68.032,64.562,71.584
Glenbrook_cogen,NI,2010,13,70.103,68.267,71.296
Glenbrook_cogen,NI,2010,14,77.329,75.165,75.906
Glenbrook_cogen,NI,2010,15,70.274,72.292,77.582
Glenbrook_cogen,NI,2010,16,78.63,77.016,79.873
Glenbrook_cogen,NI,2010,17,73.59,73.893,73.516
Glenbrook_cogen,NI,2010,18,81.629,78.584,78.738
Glenbrook_cogen,NI,2010,19,41.387,49.291,63.398
Glenbrook_cogen,NI,2010,20,70.688,68.957,72.664
Glenbrook_cogen,NI,2010,21,65.963,67.191,73.728
Glenbrook_cogen,NI,2010,22,78.254,75.676,78.22
Glenbrook_cogen,NI,2010,23,71.123,74.411,75.752
Glenbrook_cogen,NI,2010,24,71.806,70.302,67.882
Glenbrook_cogen,NI,2010,25,77.238,76.513,75.249
Glenbrook_cogen,NI,2010,26,68.565,68.712,75.443
Glenbrook_cogen,NI,2010,27,64.932,62.897,70.708
Glenbrook_cogen,NI,2010,28,70.009,67.085,67.467
Glenbrook_cogen,NI,2010,29,67.107,65.33,70.544
Glenbrook_cogen,NI,2010,30,74.929,73.014,72.619
Glenbrook_cogen,NI,2010,31,69.279,70.31,69.542
Glenbrook_cogen,NI,2010,32,71.365,59.228,60.595
Glenbrook_cogen,NI,2010,33,81.055,73.983,75.742
Glenbrook_cogen,NI,2010,34,75.871,79.035,81.329
Glenbrook_cogen,NI,2010,35,53.964,56.369,59.981
Glenbrook_cogen,NI,2010,36,71.276,74.151,72.381
Glenbrook_cogen,NI,2010,37,69.159,70.836,73.322
Glenbrook_cogen,NI,2010,38,66.492,67.28,73.718
Glenbrook_cogen,NI,2010,39,40.602,38.717,46.499
Glenbrook_cogen,NI,2010,40,41.959,43.507,48.988
Glenbrook_cogen,NI,2010,41,59.001,57.666,58.616
Glenbrook_cogen,NI,2010,42,53.805,51.908,58.521
Glenbrook_cogen,NI,2010,43,58.987,58.003,58.07
Glenbrook_cogen,NI,2010,44,67.701,70.058,69.371
Glenbrook_cogen,NI,2010,45,65.21,64.653,63.523
Glenbrook_cogen,NI,2010,46,63.664,64.3,65.245
Glenbrook_cogen,NI,2010,47,66.98,70.179,72.583
Glenbrook_cogen,NI,2010,48,56.718,57.845,60.141
Glenbrook_cogen,NI,2010,49,78.415,74.117,69.378
Glenbrook_cogen,NI,2010,50,77.925,72.884,75.336
Glenbrook_cogen,NI,2010,51,53.246,60.093,64.412
Glenbrook_cogen,NI,2010,52,72.156,74.559,75.337
Glenbrook_cogen,NI,2011,1,65.151,68.115,69.228
Glenbrook_cogen,NI,2011,2,76.378,74.513,79.273
Glenbrook_cogen,NI,2011,3,46.76,53.242,66.83
Glenbrook_cogen,NI,2011,4,68.777,69.091,68.298
Glenbrook_cogen,NI,2011,5,71.598,72.012,66.997
Glenbrook_cogen,NI,2011,6,73.91,70.649,74.62
Glenbrook_cogen,NI,2011,7,59.97,64.179,70.382
Glenbrook_cogen,NI,2011,8,67.237,68.544,73.654
Glenbrook_cogen,NI,2011,9,73.092,74.229,79.576
Glenbrook_cogen,NI,2011,10,76.798,75.716,74.792
Glenbrook_cogen,NI,2011,11,64.648,60.057,69.782
Glenbrook_cogen,NI,2011,12,36.317,39.19,42.633
Glenbrook_cogen,NI,2011,13,39.031,37.63,46.054
Glenbrook_cogen,NI,2011,14,49.288,48.213,50.631
Glenbrook_cogen,NI,2011,15,45.767,43.821,50.392
Glenbrook_cogen,NI,2011,16,50.059,51.24,55.081
Glenbrook_cogen,NI,2011,17,69.517,69.828,77.121
Glenbrook_cogen,NI,2011,18,72.936,69.844,73.584
Glenbrook_cogen,NI,2011,19,67.645,68.462,68.325
Glenbrook_cogen,NI,2011,20,68.638,71.044,75.937
Glenbrook_cogen,NI,2011,21,73.876,71.002,73.683
Glenbrook_cogen,NI,2011,22,73.746,73.299,75.702
Glenbrook_cogen,NI,2011,23,63.854,62.031,63.485
Glenbrook_cogen,NI,2011,24,59.75,57.043,59.739
Glenbrook_cogen,NI,2011,25,65.081,62.971,67.142
Glenbrook_cogen,NI,2011,26,62.571,63.941,62.356
Glenbrook_cogen,NI,2011,27,62.39,61.583,62.977
Glenbrook_cogen,NI,2011,28,55.768,54.309,59.793
Glenbrook_cogen,NI,2011,29,60.959,62.509,65.461
Glenbrook_cogen,NI,2011,30,70.358,67.557,71.272
Glenbrook_cogen,NI,2011,31,57.856,56.077,49.398
Glenbrook_cogen,NI,2011,32,60.779,62.378,61.21
Glenbrook_cogen,NI,2011,33,26.946,44.6,51.564
Glenbrook_cogen,NI,2011,34,59.041,57.757,60.861
Glenbrook_cogen,NI,2011,35,63.286,59.678,62.636
Glenbrook_cogen,NI,2011,36,21.692,27.663,36.012
Glenbrook_cogen,NI,2011,37,8.668,9.53,10.974
Glenbrook_cogen,NI,2011,38,9.83,10.348,10.811
Glenbrook_cogen,NI,2011,39,13.407,14.291,14.569
Glenbrook_cogen,NI,2011,40,42.195,44.632,42.235
Glenbrook_cogen,NI,2011,41,74.874,73.842,72.231
Glenbrook_cogen,NI,2011,42,53.122,46.633,60.305
Glenbrook_cogen,NI,2011,43,32.777,32.651,31.406
Glenbrook_cogen,NI,2011,44,61.67,60.64,53.205
Glenbrook_cogen,NI,2011,45,71.725,68.784,73.573
Glenbrook_cogen,NI,2011,46,53.943,55.58,62.239
Glenbrook_cogen,NI,2011,47,71.585,69.508,74.102
Glenbrook_cogen,NI,2011,48,51.121,59.763,57.3
Glenbrook_cogen,NI,2011,49,72.194,69.269,71.528
Glenbrook_cogen,NI,2011,50,62.407,65.61,73.795
Glenbrook_cogen,NI,2011,51,68.208,67.426,71.736
Glenbrook_cogen,NI,2011,52,72.919,75.898,77.597
Glenbrook_cogen,NI,2012,1,63.928,70.134,68.368
Glenbrook_cogen,NI,2012,2,64.622,64.517,70.982
Glenbrook_cogen,NI,2012,3,55.967,67.929,69.562
Glenbrook_cogen,NI,2012,4,68.435,66.004,65.866
Glenbrook_cogen,NI,2012,5,50.597,60.143,63.137
Glenbrook_cogen,NI,2012,6,45.83,41.767,38.319
Glenbrook_cogen,NI,2012,7,74.776,70.859,66.087
Glenbrook_cogen,NI,2012,8,73.436,71.931,73.853
Glenbrook_cogen,NI,2012,9,45.643,43.544,52.297
Glenbrook_cogen,NI,2012,10,56.339,48.515,55.192
Glenbrook_cogen,NI,2012,11,50.151,50.193,55.523
Glenbrook_cogen,NI,2012,12,13.682,21.624,32.096
Glenbrook_cogen,NI,2012,13,52.956,50.714,51.991
Glenbrook_cogen,NI,2012,14,72.756,72.433,75.339
Glenbrook_cogen,NI,2012,15,65.025,69.932,76.425
Glenbrook_cogen,NI,2012,16,65.457,62.114,69.268
Glenbrook_cogen,NI,2012,17,67.835,69.811,73.727
Glenbrook_cogen,NI,2012,18,59.093,62.749,69.486
Glenbrook_cogen,NI,2012,19,82.268,80.103,81.391
Glenbrook_cogen,NI,2012,20,82.536,83.327,81.663
Glenbrook_cogen,NI,2012,21,73.388,73.341,76.184
Glenbrook_cogen,NI,2012,22,61.516,69.8,75.986
Glenbrook_cogen,NI,2012,23,69.796,69.952,70.358
Glenbrook_cogen,NI,2012,24,66.33,61.606,71.101
Glenbrook_cogen,NI,2012,25,72.122,70.744,64.223
