,,coal,diesel,gas,CO2
CO2_CONTENT,,0.09218,0.06939,0.05397,
YEAR,WEEK,,,,
2010,1,5.89,28.58,7.2,20.25
2010,2,5.89,28.58,7.2,20.25
2010,3,5.89,28.58,7.2,20.25
2010,4,5.89,28.58,7.2,20.25
2010,5,6.17,28.7,7.2,20.33
2010,6,6.39,28.8,7.2,20.4
2010,7,6.39,28.8,7.2,20.4
2010,8,6.39,28.8,7.2,20.4
2010,9,6.33,29.25,7.2,20.4
2010,10,6.28,29.58,7.2,20.4
2010,11,6.28,29.58,7.2,20.4
2010,12,6.28,29.58,7.2,20.4
2010,13,6.27,29.7,7.09,20.4
2010,14,6.21,30.42,6.4,20.4
2010,15,6.21,30.42,6.4,20.4
2010,16,6.21,30.42,6.4,20.4
2010,17,6.21,30.42,6.4,20.4
2010,18,6.69,31.02,6.4,19.3
2010,19,6.77,31.12,6.4,19.12
2010,20,6.77,31.12,6.4,19.12
2010,21,6.77,31.12,6.4,19.12
2010,22,6.86,30.66,6.4,18.48
2010,23,6.98,30.05,6.4,17.62
2010,24,6.98,30.05,6.4,17.62
2010,25,6.98,30.05,6.4,17.62
2010,26,6.93,30.05,6.55,17.72
2010,27,6.64,30.03,7.42,18.33
2010,28,6.64,30.03,7.42,18.33
2010,29,6.64,30.03,7.42,18.33
2010,30,6.64,30.03,7.42,18.33
2010,31,6.73,29.94,7.42,18.45
2010,32,6.77,29.9,7.42,18.5
2010,33,6.77,29.9,7.42,18.5
2010,34,6.77,29.9,7.42,18.5
2010,35,6.64,29.88,7.42,18.85
2010,36,6.31,29.84,7.42,19.71
2010,37,6.31,29.84,7.42,19.71
2010,38,6.31,29.84,7.42,19.71
2010,39,6.31,29.84,7.42,19.71
2010,40,6.25,30.31,7.61,19.5
2010,41,6.25,30.31,7.61,19.5
2010,42,6.25,30.31,7.61,19.5
2010,43,6.25,30.31,7.61,19.5
2010,44,6.42,30.48,7.61,20.18
2010,45,6.55,30.61,7.61,20.69
2010,46,6.55,30.61,7.61,20.69
2010,47,6.55,30.61,7.61,20.69
2010,48,6.59,30.97,7.61,20.66
2010,49,6.68,31.89,7.61,20.59
2010,50,6.68,31.89,7.61,20.59
2010,51,6.68,31.89,7.61,20.59
2010,52,6.68,31.89,7.61,20.59
2011,1,7.17,32.87,7.3,19.89
2011,2,7.17,32.87,7.3,19.89
2011,3,7.17,32.87,7.3,19.89
2011,4,7.17,32.87,7.3,19.89
2011,5,7.66,33.53,7.3,19.44
2011,6,8.03,34.02,7.3,19.11
2011,7,8.03,34.02,7.3,19.11
2011,8,8.03,34.02,7.3,19.11
2011,9,7.92,36.55,7.3,19.86
2011,10,7.84,38.44,7.3,20.43
2011,11,7.84,38.44,7.3,20.43
2011,12,7.84,38.44,7.3,20.43
2011,13,7.81,38.73,7.29,20.42
2011,14,7.59,40.47,7.2,20.41
2011,15,7.59,40.47,7.2,20.41
2011,16,7.59,40.47,7.2,20.41
2011,17,7.59,40.47,7.2,20.41
2011,18,7.34,38.8,7.2,20.2
2011,19,7.29,38.52,7.2,20.17
2011,20,7.29,38.52,7.2,20.17
2011,21,7.29,38.52,7.2,20.17
2011,22,7.31,37.63,7.2,19.9
2011,23,7.33,36.43,7.2,19.53
2011,24,7.33,36.43,7.2,19.53
2011,25,7.33,36.43,7.2,19.53
2011,26,7.28,36.35,7.22,19.25
2011,27,6.97,35.87,7.32,17.56
2011,28,6.97,35.87,7.32,17.56
2011,29,6.97,35.87,7.32,17.56
2011,30,6.97,35.87,7.32,17.56
2011,31,7.02,35.32,7.32,15.72
2011,32,7.04,35.11,7.32,14.98
2011,33,7.04,35.11,7.32,14.98
2011,34,7.04,35.11,7.32,14.98
2011,35,7.21,35.22,7.32,15.12
2011,36,7.64,35.49,7.32,15.46
2011,37,7.64,35.49,7.32,15.46
2011,38,7.64,35.49,7.32,15.46
2011,39,7.64,35.49,7.32,15.46
2011,40,7.43,36.1,6.27,13.57
2011,41,7.43,36.1,6.27,13.57
2011,42,7.43,36.1,6.27,13.57
2011,43,7.43,36.1,6.27,13.57
2011,44,7.49,36.82,6.27,13.21
2011,45,7.54,37.37,6.27,12.94
2011,46,7.54,37.37,6.27,12.94
2011,47,7.54,37.37,6.27,12.94
2011,48,7.5,37.83,6.27,12.02
2011,49,7.39,39,6.27,9.73
2011,50,7.39,39,6.27,9.73
2011,51,7.39,39,6.27,9.73
2011,52,7.39,39,6.27,9.73
2012,1,6.93,38.54,6.58,7.46
2012,2,6.93,38.54,6.58,7.46
2012,3,6.93,38.54,6.58,7.46
2012,4,6.93,38.54,6.58,7.46
2012,5,6.97,37.7,6.58,7.8
2012,6,7.01,37.08,6.58,8.05
2012,7,7.01,37.08,6.58,8.05
2012,8,7.01,37.08,6.58,8.05
2012,9,7.09,37.5,6.58,7.91
2012,10,7.19,38.06,6.58,7.72
2012,11,7.19,38.06,6.58,7.72
2012,12,7.19,38.06,6.58,7.72
2012,13,7.19,38.06,6.58,7.72
2012,14,6.88,38.23,6.79,7.34
2012,15,6.88,38.23,6.79,7.34
2012,16,6.88,38.23,6.79,7.34
2012,17,6.88,38.23,6.79,7.34
2012,18,7.05,38.1,6.79,6.66
2012,19,7.12,38.04,6.79,6.38
2012,20,7.12,38.04,6.79,6.38
2012,21,7.12,38.04,6.79,6.38
2012,22,6.94,37.49,6.79,6.35
2012,23,6.49,36.11,6.79,6.27
2012,24,6.49,36.11,6.79,6.27
2012,25,6.49,36.11,6.79,6.27
2012,26,6.49,36.11,6.79,6.27
2012,27,6.11,35.42,6.73,5.69
2012,28,6.11,35.42,6.73,5.69
2012,29,6.11,35.42,6.73,5.69
2012,30,6.11,35.42,6.73,5.69
2012,31,6.09,36.63,6.73,5.17
2012,32,6.07,37.54,6.73,4.78
2012,33,6.07,37.54,6.73,4.78
2012,34,6.07,37.54,6.73,4.78
2012,35,6.06,37.66,6.73,4.66
2012,36,5.99,38.39,6.73,3.96
2012,37,5.99,38.39,6.73,3.96
2012,38,5.99,38.39,6.73,3.96
2012,39,5.99,38.39,6.73,3.96
2012,40,6.01,38.01,6.29,3.28
2012,41,6.01,37.95,6.22,3.16
2012,42,6.01,37.95,6.22,3.16
2012,43,6.01,37.95,6.22,3.16
2012,44,5.94,37.68,6.22,3.03
2012,45,5.83,37.32,6.22,2.87
2012,46,5.83,37.32,6.22,2.87
2012,47,5.83,37.32,6.22,2.87
2012,48,5.83,37.32,6.22,2.83
2012,49,5.8,37.31,6.22,2.64
2012,50,5.8,37.31,6.22,2.64
2012,51,5.8,37.31,6.22,2.64
2012,52,5.8,37.31,6.22,2.64
2013,1,5.99,36.98,6.89,2.63
2013,2,5.99,36.98,6.89,2.63
2013,3,5.99,36.98,6.89,2.63
2013,4,5.99,36.98,6.89,2.63
2013,5,6.06,36.94,6.89,2.27
2013,6,6.11,36.9,6.89,2.01
2013,7,6.11,36.9,6.89,2.01
2013,8,6.11,36.9,6.89,2.01
2013,9,6.1,36.99,6.89,1.98
2013,10,6.08,37.06,6.89,1.96
2013,11,6.08,37.06,6.89,1.96
2013,12,6.08,37.06,6.89,1.96
2013,13,6.05,36.86,6.89,1.98
2013,14,5.88,35.63,6.92,2.08
2013,15,5.88,35.63,6.92,2.08
2013,16,5.88,35.63,6.92,2.08
2013,17,5.88,35.63,6.92,2.08
2013,18,6.05,34.93,6.92,2
2013,19,6.08,34.81,6.92,1.98
2013,20,6.08,34.81,6.92,1.98
2013,21,6.08,34.81,6.92,1.98
2013,22,6.12,35.3,6.92,1.91
2013,23,6.18,35.95,6.92,1.83
2013,24,6.18,35.95,6.92,1.83
2013,25,6.18,35.95,6.92,1.83
2013,26,6.14,36.2,6.94,1.86
2013,27,5.94,37.71,7.05,2.05
2013,28,5.94,37.71,7.05,2.05
2013,29,5.94,37.71,7.05,2.05
2013,30,5.94,37.71,7.05,2.05
2013,31,5.92,37.57,7.05,2.72
2013,32,5.91,37.52,7.05,2.99
2013,33,5.91,37.52,7.05,2.99
2013,34,5.91,37.52,7.05,2.99
2013,35,5.83,37.62,7.05,3.4
2013,36,5.64,37.89,7.05,4.43
2013,37,5.64,37.89,7.05,4.43
2013,38,5.64,37.89,7.05,4.43
2013,39,5.64,37.89,7.05,4.43
2013,40,5.63,36.88,4.3,4.04
2013,41,5.63,36.88,4.3,4.04
2013,42,5.63,36.88,4.3,4.04
2013,43,5.63,36.88,4.3,4.04
2013,44,5.7,36.85,4.69,3.68
2013,45,5.75,36.84,4.98,3.42
2013,46,5.75,36.84,4.98,3.42
2013,47,5.75,36.84,4.98,3.42
2013,48,5.77,37.21,5.16,3.44
2013,49,5.8,38.16,5.61,3.48
2013,50,5.8,38.16,5.61,3.48
2013,51,5.8,38.16,5.61,3.48
2013,52,5.8,38.16,5.61,3.48
2014,1,5.92,37.29,5.64,3.3
2014,2,5.92,37.29,5.64,3.3
2014,3,5.92,37.29,5.64,3.3
2014,4,5.92,37.29,5.64,3.3
2014,5,5.8,36.87,5.76,3.29
2014,6,5.71,36.55,5.86,3.29
2014,7,5.71,36.55,5.86,3.29
2014,8,5.71,36.55,5.86,3.29
2014,9,5.56,36.54,5.82,3.15
2014,10,5.44,36.53,5.79,3.05
2014,11,5.44,36.53,5.79,3.05
2014,12,5.44,36.53,5.79,3.05
2014,13,5.43,36.41,5.8,3.05
2014,14,5.38,35.68,5.81,3.06
2014,15,5.38,35.68,5.81,3.06
2014,16,5.38,35.68,5.81,3.06
2014,17,5.38,35.68,5.81,3.06
2014,18,5.39,36.06,5.62,3.69
2014,19,5.39,36.12,5.59,3.79
2014,20,5.39,36.12,5.59,3.79
2014,21,5.39,36.12,5.59,3.79
2014,22,5.34,36.41,5.76,4.12
2014,23,5.28,36.81,5.98,4.55
2014,24,5.28,36.81,5.98,4.55
2014,25,5.28,36.81,5.98,4.55
2014,26,5.29,36.71,5.96,4.48
2014,27,5.33,36.11,5.84,4.07
2014,28,5.33,36.11,5.84,4.07
2014,29,5.33,36.11,5.84,4.07
2014,30,5.33,36.11,5.84,4.07
2014,31,5.29,36,5.46,3.97
2014,32,5.28,35.96,5.3,3.93
2014,33,5.28,35.96,5.3,3.93
2014,34,5.28,35.96,5.3,3.93
2014,35,5.34,36.01,5.13,4.07
2014,36,5.49,36.14,4.7,4.42
2014,37,5.49,36.14,4.7,4.42
2014,38,5.49,36.14,4.7,4.42
2014,39,5.49,36.14,4.7,4.42
2014,40,5.32,35.74,4.94,4.38
2014,41,5.32,35.74,4.94,4.38
2014,42,5.32,35.74,4.94,4.38
2014,43,5.32,35.74,4.94,4.38
2014,44,5.23,34.84,4.74,4.36
2014,45,5.17,34.16,4.59,4.34
2014,46,5.17,34.16,4.59,4.34
2014,47,5.17,34.16,4.59,4.34
2014,48,5.13,33.35,4.69,4.66
2014,49,5.04,31.32,4.94,5.45
2014,50,5.04,31.32,4.94,5.45
2014,51,5.04,31.32,4.94,5.45
2014,52,5.04,31.32,4.94,5.45
2015,1,5.16,27.39,5.01,6.07
2015,2,5.16,27.39,5.01,6.07
2015,3,5.16,27.39,5.01,6.07
2015,4,5.16,27.39,5.01,6.07
2015,5,5.06,27.66,4.75,6.02
2015,6,4.98,27.86,4.55,5.97
2015,7,4.98,27.86,4.55,5.97
2015,8,4.98,27.86,4.55,5.97
2015,9,5.1,28.68,4.88,6.21
2015,10,5.19,29.29,5.13,6.38
2015,11,5.19,29.29,5.13,6.38
2015,12,5.19,29.29,5.13,6.38
2015,13,5.17,29.28,5.15,6.38
2015,14,5.02,29.19,5.26,6.4
2015,15,5.02,29.19,5.26,6.4
2015,16,5.02,29.19,5.26,6.4
2015,17,5.02,29.19,5.26,6.4
2015,18,5.14,31.11,5.18,5.73
2015,19,5.16,31.43,5.16,5.61
2015,20,5.16,31.43,5.16,5.61
2015,21,5.16,31.43,5.16,5.61
2015,22,5.22,31.55,5.15,5.91
2015,23,5.29,31.7,5.12,6.31
2015,24,5.29,31.7,5.12,6.31
2015,25,5.29,31.7,5.12,6.31
2015,26,5.29,31.64,5.13,6.39
2015,27,5.32,31.29,5.15,6.92
2015,28,5.32,31.29,5.15,6.92
2015,29,5.32,31.29,5.15,6.92
2015,30,5.32,31.29,5.15,6.92
2015,31,5.39,30.21,5.17,6.88
2015,32,5.42,29.77,5.18,6.86
2015,33,5.42,29.77,5.18,6.86
2015,34,5.42,29.77,5.18,6.86
2015,35,5.4,29.82,5.18,6.82
2015,36,5.37,29.92,5.16,6.72
2015,37,5.37,29.92,5.16,6.72
2015,38,5.37,29.92,5.16,6.72
2015,39,5.37,29.92,5.16,6.72
2015,40,5.11,29.13,4.21,6.9
2015,41,5.11,29.13,4.21,6.9
2015,42,5.11,29.13,4.21,6.9
2015,43,5.11,29.13,4.21,6.9
2015,44,5.04,28.65,4.87,7.3
2015,45,4.99,28.28,5.37,7.61
2015,46,4.99,28.28,5.37,7.61
2015,47,4.99,28.28,5.37,7.61
2015,48,4.93,27.75,5.5,8.03
2015,49,4.78,26.43,5.84,9.08
2015,50,4.78,26.43,5.84,9.08
2015,51,4.78,26.43,5.84,9.08
2015,52,4.78,26.43,5.84,9.08
2016,1,4.81,22.83,4.37,9.62
2016,2,4.81,22.83,4.37,9.62
2016,3,4.81,22.83,4.37,9.62
2016,4,4.81,22.83,4.37,9.62
2016,5,4.7,22.36,4.43,9.47
2016,6,4.63,22,4.48,9.36
2016,7,4.63,22,4.48,9.36
2016,8,4.63,22,4.48,9.36
2016,9,4.62,23.04,4.36,9.94
2016,10,4.62,24.42,4.2,10.71
2016,11,4.62,24.42,4.2,10.71
2016,12,4.62,24.42,4.2,10.71
2016,13,4.62,24.42,4.2,10.71
2016,14,4.62,24.14,4.11,12.8
2016,15,4.62,24.14,4.11,12.8
2016,16,4.62,24.14,4.11,12.8
2016,17,4.62,24.14,4.11,12.8
2016,18,4.65,25.26,4.29,13.98
2016,19,4.66,25.71,4.37,14.45
2016,20,4.66,25.71,4.37,14.45
2016,21,4.66,25.71,4.37,14.45
2016,22,4.64,26.15,4.26,15.23
2016,23,4.6,27.25,4,17.19
2016,24,4.6,27.25,4,17.19
2016,25,4.6,27.25,4,17.19
2016,26,4.6,27.25,4,17.19
2016,27,4.6,25.89,4.15,17.99
2016,28,4.6,25.89,4.15,17.99
2016,29,4.6,25.89,4.15,17.99
2016,30,4.6,25.89,4.15,17.99
2016,31,4.72,25.68,4.14,17.93
2016,32,4.81,25.51,4.14,17.89
2016,33,4.81,25.51,4.14,17.89
2016,34,4.81,25.51,4.14,17.89
2016,35,4.84,25.67,4.01,18.02
2016,36,5.02,26.59,3.26,18.81
2016,37,5.02,26.59,3.26,18.81
2016,38,5.02,26.59,3.26,18.81
2016,39,5.02,26.59,3.26,18.81
2016,40,5.33,27.53,3.34,18.79
2016,41,5.38,27.69,3.35,18.79
2016,42,5.38,27.69,3.35,18.79
